"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,         240,       -5.70948421,      -5.623378966,      -5.582738171,      -8.984272287
          0,           0,         241,      -5.723904637,      -5.671243215,      -5.642140367,      -8.994788239
          0,           0,         242,      -5.737194375,      -5.712679577,      -5.693146135,       -9.00554026
          0,           0,         243,       -5.74897003,       -5.74038661,       -5.72235217,      -9.016533595
          0,           0,         244,      -5.758998335,      -5.749145602,      -5.720868223,      -9.027762967
          0,           0,         245,      -5.767248696,      -5.739607687,      -5.693322383,      -9.039216644
          0,           0,         246,      -5.787526395,      -5.717795662,       -5.65293258,      -9.050870577
          0,           0,         247,      -5.776859618,      -5.690629974,      -5.610862862,      -9.062694521
          0,           0,         248,      -5.782887779,      -5.664577066,      -5.573756849,      -9.074660467
          0,           0,         249,      -5.788050446,       -5.64218083,      -5.543907733,       -9.08673404
          0,           0,         250,      -5.793171946,      -5.625160078,      -5.522162922,      -9.098877402
          0,           0,         251,      -5.798921838,      -5.614178299,        -5.5085952,      -9.111056364
          0,           0,         252,      -5.805746562,      -5.609384154,      -5.503030575,      -9.123240818
          0,           0,         253,      -5.813967433,      -5.610664898,      -5.505254227,      -9.135402641
          0,           0,         254,      -5.823810005,      -5.617767897,       -5.51512487,      -9.147515947
          0,           0,         255,      -5.835402424,      -5.630342883,      -5.532618592,      -9.159558899
          0,           0,         256,      -5.848769645,      -5.647939909,      -5.557850452,      -9.171511885
          0,           0,         257,      -5.863803236,      -5.669977325,       -5.59108082,      -9.183351964
          0,           0,         258,      -5.880246677,      -5.695677471,       -5.63270652,      -9.195064157
          0,           0,         259,      -5.897709678,      -5.723986063,      -5.683223043,      -9.206625271
          0,           0,         260,      -5.915701862,      -5.753486155,      -5.743109163,       -9.21800747
          0,           0,         261,      -5.933717858,      -5.782369542,      -5.812506681,      -9.229190888
          0,           0,         262,      -5.951324464,      -5.808561023,      -5.890377241,       -9.24015353
          0,           0,         263,      -5.999365379,      -5.830074676,      -5.972489904,      -9.250875459
          0,           0,         264,      -5.978470786,      -5.845035658,      -6.046943696,      -9.261345329
          0,           0,         265,      -5.995462922,      -5.854499325,      -6.096789398,      -9.271551231
          0,           0,         266,      -6.009863219,       -5.85838876,      -6.105648205,       -9.28149195
          0,           0,         267,      -6.022374067,      -5.858586457,      -6.080176913,      -9.291172882
          0,           0,         268,       -6.08004471,      -5.857118637,      -6.040266147,      -9.300614607
          0,           0,         269,      -6.035934898,      -5.855189203,      -6.000073305,      -9.309840938
          0,           0,         270,       -6.04895282,      -5.855853431,       -5.96857251,       -9.31888559
          0,           0,         271,      -6.059248439,      -5.858862523,       -5.94608872,      -9.327795252
          0,           0,         272,      -6.067893011,      -5.865142338,      -5.933184498,      -9.336625828
          0,           0,         273,      -6.075724309,       -5.87512976,       -5.92950238,      -9.345429883
          0,           0,         274,      -6.083177841,      -5.889022866,      -5.934582168,      -9.354274916
          0,           0,         275,      -6.090667094,      -5.906831786,      -5.947878146,       -9.36321932
          0,           0,         276,      -6.098118605,      -5.928414414,      -5.968845808,      -9.372316986
          0,           0,         277,      -6.105551371,      -5.953477121,      -5.996828154,      -9.381615989
          0,           0,         278,      -6.112897947,      -5.981532889,      -6.030912832,      -9.391160075
          0,           0,         279,       -6.11996323,       -6.01188215,      -6.069731481,       -9.40097897
          0,           0,         280,      -6.126872967,      -6.043581594,      -6.111203699,       -9.41108784
          0,           0,         281,      -6.133182402,      -6.075453278,      -6.152332032,      -9.421492709
          0,           0,         282,      -6.138839983,      -6.106153979,      -6.189278139,      -9.432188794
          0,           0,         283,      -6.219547958,      -6.134317119,      -6.218059916,      -9.443157768
          0,           0,         284,      -6.281090407,      -6.156656862,      -6.233810483,      -9.454376287
          0,           0,         285,      -6.299601724,      -6.171563552,      -6.236440491,      -9.465813561
          0,           0,         286,       -6.31057735,      -6.188486051,      -6.235413797,      -9.477431174
          0,           0,         287,      -6.325570289,      -6.201107832,      -6.231035407,      -9.489179837
          0,           0,         288,      -6.093784338,      -6.210367645,      -6.226248861,      -9.500999647
          0,           0,         289,      -6.122192577,      -6.207226186,      -6.218089533,      -9.512845642
          0,           0,         290,      -6.298581507,      -6.210679241,      -6.214845735,      -9.524682433
          0,           0,         291,      -6.112344351,      -6.213914864,      -6.214390372,      -9.536447701
          0,           0,         292,      -6.285082642,      -6.222736584,      -6.222495084,      -9.548090355
          0,           0,         293,      -6.114147366,      -6.226328284,      -6.224312654,      -9.559573934
          0,           0,         294,      -6.129619972,      -6.230348849,      -6.228813997,      -9.570849643
          0,           0,         295,      -6.137376537,       -6.23486689,      -6.235677497,      -9.581877613
          0,           0,         296,      -6.141238041,      -6.241378901,      -6.246842832,      -9.592631758
          0,           0,         297,      -6.142999878,      -6.249977135,      -6.262006961,      -9.603093282
          0,           0,         298,      -6.143578244,      -6.260904762,      -6.280391358,      -9.613247607
          0,           0,         299,      -6.143492924,      -6.273636877,      -6.299370549,      -9.623096538
          0,           0,         300,      -6.142884886,      -6.286883921,       -6.31527151,      -9.632648155
          0,           0,         301,      -6.141852171,      -6.298443723,      -6.323475848,      -9.641916726
          0,           0,         302,      -6.140519105,      -6.305526328,      -6.319930368,      -9.650923941
          0,           0,         303,      -6.138863218,      -6.305571825,      -6.303110239,      -9.659694397
          0,           0,         304,      -6.239848506,      -6.297249299,       -6.27495968,      -9.668246288
          0,           0,         305,      -6.116360573,      -6.271479052,      -6.234350048,      -9.676621088
          0,           0,         306,      -6.252748397,       -6.25512798,      -6.199277955,      -9.684833236
          0,           0,         307,      -6.102983228,       -6.22851564,      -6.162496536,      -9.692921115
          0,           0,         308,      -6.114413826,      -6.203558443,      -6.128233845,      -9.700898262
          0,           0,         309,      -6.117690624,      -6.179915204,      -6.098744048,      -9.708799676
          0,           0,         310,       -6.11784704,      -6.158636325,      -6.074557518,      -9.716650621
          0,           0,         311,       -6.11689978,      -6.140480855,      -6.055911526,      -9.724478387
          0,           0,         312,      -6.115601812,      -6.126041317,      -6.042941869,      -9.732313762
          0,           0,         313,      -6.114264368,      -6.115692544,      -6.035411802,       -9.74018584
          0,           0,         314,       -6.11290264,      -6.109721282,      -6.033166382,      -9.748122737
          0,           0,         315,       -6.11157716,      -6.108260145,      -6.036089017,       -9.75615031
          0,           0,         316,      -6.110445283,      -6.111289621,      -6.044165615,      -9.764295123
          0,           0,         317,      -6.193157552,      -6.118675987,      -6.057531872,       -9.77257277
          0,           0,         318,      -6.196850891,      -6.126105792,      -6.074316078,      -9.781013042
          0,           0,         319,      -6.086234978,      -6.141697439,      -6.099273423,      -9.789650735
          0,           0,         320,      -6.099192448,      -6.159732265,      -6.129284544,      -9.798478024
          0,           0,         321,      -6.105697128,      -6.182459721,      -6.168445419,      -9.807509132
          0,           0,         322,      -6.109750666,      -6.206308674,      -6.213982108,      -9.816737665
          0,           0,         323,      -6.113188571,      -6.229430866,      -6.264722362,      -9.826147014
          0,           0,         324,      -6.116527208,      -6.249193833,       -6.31541749,      -9.835706052
          0,           0,         325,      -6.119876297,      -6.262458464,      -6.354852694,      -9.845362874
          0,           0,         326,      -6.122870181,      -6.266864084,      -6.369450178,      -9.855053053
          0,           0,         327,       -6.21695868,      -6.261813082,      -6.353438492,      -9.864685232
          0,           0,         328,      -6.111472825,      -6.242231256,      -6.308687605,      -9.874198664
          0,           0,         329,       -6.20213842,      -6.228568851,         -6.265518,      -9.883490437
          0,           0,         330,      -6.252258086,      -6.211051952,       -6.22219869,      -9.892491884
          0,           0,         331,       -6.09765567,      -6.190941166,      -6.181818312,      -9.901174224
          0,           0,         332,      -6.113057955,      -6.175567931,      -6.150030015,      -9.909480703
          0,           0,         333,      -6.224194346,      -6.165956608,      -6.127349785,      -9.917449928
